Country,Date,Day,Month,Year,Cases,Deaths,Index Cases,Cumulative Cases,Index Deaths,Cumulative Deaths
Afghanistan,43830,31,12,2019,0,0,0,0,0,0
Afghanistan,43831,1,1,2020,0,0,0,0,0,0
Afghanistan,43832,2,1,2020,0,0,0,0,0,0
Afghanistan,43833,3,1,2020,0,0,0,0,0,0
Afghanistan,43834,4,1,2020,0,0,0,0,0,0
Afghanistan,43835,5,1,2020,0,0,0,0,0,0
Afghanistan,43836,6,1,2020,0,0,0,0,0,0
Afghanistan,43837,7,1,2020,0,0,0,0,0,0
Afghanistan,43838,8,1,2020,0,0,0,0,0,0
Afghanistan,43839,9,1,2020,0,0,0,0,0,0
Afghanistan,43840,10,1,2020,0,0,0,0,0,0
Afghanistan,43841,11,1,2020,0,0,0,0,0,0
Afghanistan,43842,12,1,2020,0,0,0,0,0,0
Afghanistan,43843,13,1,2020,0,0,0,0,0,0
Afghanistan,43844,14,1,2020,0,0,0,0,0,0
Afghanistan,43845,15,1,2020,0,0,0,0,0,0
Afghanistan,43846,16,1,2020,0,0,0,0,0,0
Afghanistan,43847,17,1,2020,0,0,0,0,0,0
Afghanistan,43848,18,1,2020,0,0,0,0,0,0
Afghanistan,43849,19,1,2020,0,0,0,0,0,0
Afghanistan,43850,20,1,2020,0,0,0,0,0,0
Afghanistan,43851,21,1,2020,0,0,0,0,0,0
Afghanistan,43852,22,1,2020,0,0,0,0,0,0
Afghanistan,43853,23,1,2020,0,0,0,0,0,0
Afghanistan,43854,24,1,2020,0,0,0,0,0,0
Afghanistan,43855,25,1,2020,0,0,0,0,0,0
Afghanistan,43856,26,1,2020,0,0,0,0,0,0
Afghanistan,43857,27,1,2020,0,0,0,0,0,0
Afghanistan,43858,28,1,2020,0,0,0,0,0,0
Afghanistan,43859,29,1,2020,0,0,0,0,0,0
Afghanistan,43860,30,1,2020,0,0,0,0,0,0
Afghanistan,43861,31,1,2020,0,0,0,0,0,0
Afghanistan,43862,1,2,2020,0,0,0,0,0,0
Afghanistan,43863,2,2,2020,0,0,0,0,0,0
Afghanistan,43864,3,2,2020,0,0,0,0,0,0
Afghanistan,43865,4,2,2020,0,0,0,0,0,0
Afghanistan,43866,5,2,2020,0,0,0,0,0,0
Afghanistan,43867,6,2,2020,0,0,0,0,0,0
Afghanistan,43868,7,2,2020,0,0,0,0,0,0
Afghanistan,43869,8,2,2020,0,0,0,0,0,0
Afghanistan,43870,9,2,2020,0,0,0,0,0,0
Afghanistan,43871,10,2,2020,0,0,0,0,0,0
Afghanistan,43872,11,2,2020,0,0,0,0,0,0
Afghanistan,43873,12,2,2020,0,0,0,0,0,0
Afghanistan,43874,13,2,2020,0,0,0,0,0,0
Afghanistan,43875,14,2,2020,0,0,0,0,0,0
Afghanistan,43876,15,2,2020,0,0,0,0,0,0
Afghanistan,43877,16,2,2020,0,0,0,0,0,0
Afghanistan,43878,17,2,2020,0,0,0,0,0,0
Afghanistan,43879,18,2,2020,0,0,0,0,0,0
Afghanistan,43880,19,2,2020,0,0,0,0,0,0
Afghanistan,43881,20,2,2020,0,0,0,0,0,0
Afghanistan,43882,21,2,2020,0,0,0,0,0,0
Afghanistan,43883,22,2,2020,0,0,0,0,0,0
Afghanistan,43884,23,2,2020,0,0,0,0,0,0
Afghanistan,43885,24,2,2020,0,0,0,0,0,0
Afghanistan,43886,25,2,2020,1,0,1,1,0,0
Afghanistan,43887,26,2,2020,0,0,2,1,0,0
Afghanistan,43888,27,2,2020,0,0,3,1,0,0
Afghanistan,43889,28,2,2020,0,0,4,1,0,0
Afghanistan,43890,29,2,2020,0,0,5,1,0,0
Afghanistan,43891,1,3,2020,0,0,6,1,0,0
Afghanistan,43892,2,3,2020,0,0,7,1,0,0
Afghanistan,43898,8,3,2020,3,0,8,4,0,0
Afghanistan,43901,11,3,2020,3,0,9,7,0,0
Afghanistan,43905,15,3,2020,3,0,10,10,0,0
Afghanistan,43906,16,3,2020,6,0,11,16,0,0
Afghanistan,43907,17,3,2020,5,0,12,21,0,0
Afghanistan,43908,18,3,2020,1,0,13,22,0,0
Afghanistan,43909,19,3,2020,0,0,14,22,0,0
Afghanistan,43910,20,3,2020,0,0,15,22,0,0
Albania,43899,9,3,2020,2,0,1,2,0,0
Albania,43900,10,3,2020,4,0,2,6,0,0
Albania,43901,11,3,2020,4,0,3,10,0,0
Albania,43902,12,3,2020,1,1,4,11,1,1
Albania,43903,13,3,2020,12,0,5,23,2,1
Albania,43904,14,3,2020,10,0,6,33,3,1
Albania,43905,15,3,2020,5,0,7,38,4,1
Albania,43906,16,3,2020,4,0,8,42,5,1
Albania,43907,17,3,2020,9,0,9,51,6,1
Albania,43908,18,3,2020,4,0,10,55,7,1
Albania,43909,19,3,2020,4,1,11,59,8,2
Albania,43910,20,3,2020,11,0,12,70,9,2
Algeria,43830,31,12,2019,0,0,0,0,0,0
Algeria,43831,1,1,2020,0,0,0,0,0,0
Algeria,43832,2,1,2020,0,0,0,0,0,0
Algeria,43833,3,1,2020,0,0,0,0,0,0
Algeria,43834,4,1,2020,0,0,0,0,0,0
Algeria,43835,5,1,2020,0,0,0,0,0,0
Algeria,43836,6,1,2020,0,0,0,0,0,0
Algeria,43837,7,1,2020,0,0,0,0,0,0
Algeria,43838,8,1,2020,0,0,0,0,0,0
Algeria,43839,9,1,2020,0,0,0,0,0,0
Algeria,43840,10,1,2020,0,0,0,0,0,0
Algeria,43841,11,1,2020,0,0,0,0,0,0
Algeria,43842,12,1,2020,0,0,0,0,0,0
Algeria,43843,13,1,2020,0,0,0,0,0,0
Algeria,43844,14,1,2020,0,0,0,0,0,0
Algeria,43845,15,1,2020,0,0,0,0,0,0
Algeria,43846,16,1,2020,0,0,0,0,0,0
Algeria,43847,17,1,2020,0,0,0,0,0,0
Algeria,43848,18,1,2020,0,0,0,0,0,0
Algeria,43849,19,1,2020,0,0,0,0,0,0
Algeria,43850,20,1,2020,0,0,0,0,0,0
Algeria,43851,21,1,2020,0,0,0,0,0,0
Algeria,43852,22,1,2020,0,0,0,0,0,0
Algeria,43853,23,1,2020,0,0,0,0,0,0
Algeria,43854,24,1,2020,0,0,0,0,0,0
Algeria,43855,25,1,2020,0,0,0,0,0,0
Algeria,43856,26,1,2020,0,0,0,0,0,0
Algeria,43857,27,1,2020,0,0,0,0,0,0
Algeria,43858,28,1,2020,0,0,0,0,0,0
Algeria,43859,29,1,2020,0,0,0,0,0,0
Algeria,43860,30,1,2020,0,0,0,0,0,0
Algeria,43861,31,1,2020,0,0,0,0,0,0
Algeria,43862,1,2,2020,0,0,0,0,0,0
Algeria,43863,2,2,2020,0,0,0,0,0,0
Algeria,43864,3,2,2020,0,0,0,0,0,0
Algeria,43865,4,2,2020,0,0,0,0,0,0
Algeria,43866,5,2,2020,0,0,0,0,0,0
Algeria,43867,6,2,2020,0,0,0,0,0,0
Algeria,43868,7,2,2020,0,0,0,0,0,0
Algeria,43869,8,2,2020,0,0,0,0,0,0
Algeria,43870,9,2,2020,0,0,0,0,0,0
Algeria,43871,10,2,2020,0,0,0,0,0,0
Algeria,43872,11,2,2020,0,0,0,0,0,0
Algeria,43873,12,2,2020,0,0,0,0,0,0
Algeria,43874,13,2,2020,0,0,0,0,0,0
Algeria,43875,14,2,2020,0,0,0,0,0,0
Algeria,43876,15,2,2020,0,0,0,0,0,0
Algeria,43877,16,2,2020,0,0,0,0,0,0
Algeria,43878,17,2,2020,0,0,0,0,0,0
Algeria,43879,18,2,2020,0,0,0,0,0,0
Algeria,43880,19,2,2020,0,0,0,0,0,0
Algeria,43881,20,2,2020,0,0,0,0,0,0
Algeria,43882,21,2,2020,0,0,0,0,0,0
Algeria,43883,22,2,2020,0,0,0,0,0,0
Algeria,43884,23,2,2020,0,0,0,0,0,0
Algeria,43885,24,2,2020,0,0,0,0,0,0
Algeria,43886,25,2,2020,0,0,0,0,0,0
Algeria,43887,26,2,2020,1,0,1,1,0,0
Algeria,43888,27,2,2020,0,0,2,1,0,0
Algeria,43889,28,2,2020,0,0,3,1,0,0
Algeria,43890,29,2,2020,0,0,4,1,0,0
Algeria,43891,1,3,2020,0,0,5,1,0,0
Algeria,43892,2,3,2020,2,0,6,3,0,0
Algeria,43894,4,3,2020,2,0,7,5,0,0
Algeria,43895,5,3,2020,7,0,8,12,0,0
Algeria,43896,6,3,2020,5,0,9,17,0,0
Algeria,43899,9,3,2020,3,0,10,20,0,0
Algeria,43902,12,3,2020,0,0,11,20,0,0
Algeria,43903,13,3,2020,4,1,12,24,1,1
Algeria,43904,14,3,2020,2,1,13,26,2,2
Algeria,43905,15,3,2020,11,0,14,37,3,2
Algeria,43906,16,3,2020,11,2,15,48,4,4
Algeria,43907,17,3,2020,12,0,16,60,5,4
Algeria,43908,18,3,2020,0,1,17,60,6,5
Algeria,43909,19,3,2020,13,1,18,73,7,6
Algeria,43910,20,3,2020,9,1,19,82,8,7
Andorra,43893,3,3,2020,1,0,1,1,0,0
Andorra,43904,14,3,2020,1,0,2,2,0,0
Andorra,43906,16,3,2020,3,0,3,5,0,0
Andorra,43907,17,3,2020,9,0,4,14,0,0
Andorra,43908,18,3,2020,0,0,5,14,0,0
Andorra,43909,19,3,2020,39,0,6,53,0,0
Andorra,43910,20,3,2020,22,0,7,75,0,0
Antigua_and_Barbuda,43905,15,3,2020,1,0,1,1,0,0
Argentina,43894,4,3,2020,1,0,1,1,0,0
Argentina,43896,6,3,2020,1,0,2,2,0,0
Argentina,43897,7,3,2020,6,0,3,8,0,0
Argentina,43898,8,3,2020,1,1,4,9,1,1
Argentina,43899,9,3,2020,3,0,5,12,2,1
Argentina,43901,11,3,2020,7,0,6,19,3,1
Argentina,43903,13,3,2020,12,0,7,31,4,1
Argentina,43904,14,3,2020,3,1,8,34,5,2
Argentina,43905,15,3,2020,11,0,9,45,6,2
Argentina,43906,16,3,2020,11,0,10,56,7,2
Argentina,43907,17,3,2020,9,0,11,65,8,2
Argentina,43908,18,3,2020,14,0,12,79,9,2
Argentina,43909,19,3,2020,18,0,13,97,10,2
Argentina,43910,20,3,2020,31,1,14,128,11,3
Armenia,43830,31,12,2019,0,0,0,0,0,0
Armenia,43831,1,1,2020,0,0,0,0,0,0
Armenia,43832,2,1,2020,0,0,0,0,0,0
Armenia,43833,3,1,2020,0,0,0,0,0,0
Armenia,43834,4,1,2020,0,0,0,0,0,0
Armenia,43835,5,1,2020,0,0,0,0,0,0
Armenia,43836,6,1,2020,0,0,0,0,0,0
Armenia,43837,7,1,2020,0,0,0,0,0,0
Armenia,43838,8,1,2020,0,0,0,0,0,0
Armenia,43839,9,1,2020,0,0,0,0,0,0
Armenia,43840,10,1,2020,0,0,0,0,0,0
Armenia,43841,11,1,2020,0,0,0,0,0,0
Armenia,43842,12,1,2020,0,0,0,0,0,0
Armenia,43843,13,1,2020,0,0,0,0,0,0
Armenia,43844,14,1,2020,0,0,0,0,0,0
Armenia,43845,15,1,2020,0,0,0,0,0,0
Armenia,43846,16,1,2020,0,0,0,0,0,0
Armenia,43847,17,1,2020,0,0,0,0,0,0
Armenia,43848,18,1,2020,0,0,0,0,0,0
Armenia,43849,19,1,2020,0,0,0,0,0,0
Armenia,43850,20,1,2020,0,0,0,0,0,0
Armenia,43851,21,1,2020,0,0,0,0,0,0
Armenia,43852,22,1,2020,0,0,0,0,0,0
Armenia,43853,23,1,2020,0,0,0,0,0,0
Armenia,43854,24,1,2020,0,0,0,0,0,0
Armenia,43855,25,1,2020,0,0,0,0,0,0
Armenia,43856,26,1,2020,0,0,0,0,0,0
Armenia,43857,27,1,2020,0,0,0,0,0,0
Armenia,43858,28,1,2020,0,0,0,0,0,0
Armenia,43859,29,1,2020,0,0,0,0,0,0
